Text,label
"are we still allowed to quote ancient chinese proverbs, or is that racist? racismisavirus",0
 more power to you! this chinese virus thing have really shown us who are the crazies and low iq people are. i went to sam is club and costco this morning and both stores had lines that wrapped around the building to get inside. fuck that! i left disappointed at humanity.,0
"cnbc: who, tedros reiterated that the virus could still turn into a pandemic. he urged against fear and panic, adding, ""our greatest enemy right now is not the virus itself. it is fear, rumors and stigma."" via ",0
"""the heightened racism experienced by asian communities is surprising to many people because beliefs in racial progress are widespread in american society."" is and covid19 racismisavirus strongertogether asianamericans",1
"coronavirus and nepali in china: kp oli has directed officials to bring back nepali in wuhan, china and keep them s… ",0
"iamnotavirus - heard of it ? why use this image for an article about covid19 ""patients outside china""? ",1
" you have proven over the past 3 years that you hate americans, and america! you place our country at risk. you were too busy with the fake impeachment to worry about the chinese virus! now you and pelosi want to try again, with our money!",0
 fact: coronavirus will probably come to the us because it will become a world pandemic fact: the legacy media and democrats will try and blame you for this fact: you ought to preempt them. china is a commie nation and you have a narrow window to make that abundantly clear.,0
for the last fucking time.... coronavirus is no excuse to be racist against asians ,1
 i think your campaign slogan should be mama - make america manufacture again....need to make stuff here in america after what is happening with this chinese virus ...open our eyes on dependence to another country,0
"fuck you, china. (covid19) via exactly my thoughts! they must be held accountable! chinesevirus",2
"anyone else do a sneaky fist pump when every recycle bin in the street goes thud, and yours puts pressure on the wagons hydraulics and goes chink, chink with all the bottles? or is it just me?",0
well no shit. coronavirus ,0
"hoping april 1st come around and all the news broadcasts will be like ""april fools.. the coronavirus isnt real it was a joke"" just a shit ton of old china men come out behind a curtain",0
 most disgusting. these media are just as morally bankrupt as the chinacommunistparty. chinaliedpeopledied,0
i am tweeting to support iamnotavirus hashtag and; respect for asian americans and; all americans  ,1
another wuhan hospital chief 'is hospitalised after contracting coronavirus while treating patients' coronavirusoutbreak ,0
 i barback on the weekends and i hear that stupid shit all the time to the point where i wish we actually had the coronavirus in a bottle ,0
are you worried about the coronavirus? coronavirus,0
i am losing my mind  quarantine is making me mad. chinese douchebags ate shit infected everyone with this chinesevirus and now the whole world is suffering for them. bloody shitbags! bloody ban china ban chinese people! coronavirus,2
the gray plague: what the fuck is going on in qom? coronavirus wuflu ,0
ccp china doing all types of shady and; evil shit: no one bats an eye trump call a virus started in china the chinesevirus:  chinaliedpeopledie ccpliedpeopledied ,2
 so much for it being the chinese virus..yo ass sponsored the fucking country is quarantine ,0
"husband, i am sorry you got what the rest of us had (not coronavirus!!) but after tending to 3 little groaning people and blowing my own nose with scratchy tp for 2 weeks, i can not get it up for your sickness. i am flaccid. i am sorry. your wife.",0
coronavirus election puts the democrats in a difficult spot ,2
have you ever seen anyone praying for death to americans more than ,0
 fucking chinesevirus,2
fuck china wuhanvirus covid2019 coronavirus covid19 wuhancoronavirusoutbreak wuhanpneumonia standup4humanrights hongkongers korea us germany hongkong japan uk italy iran,2
watch this and not cry...wtf america. seriously w t f coronaviruspandemic covid19 asianamericans racismisavirus ,1
this is the truth chinaliedpeopledied,0
"we were told by doctor buddy ours january 24 when asked about wuhan virus.. ""prepare for the worst"" ...and we closed our ad agency on monday - february 17 and sent everyone home. china covered this whole damn thing up and the fascists in beijing are pure damn evil! ",2
 fuck china. chinavirus,2
" keep eating bats, and rats, and dogs, and cats and tell us what a civilized country you come from. china owns this pandemic and the entire works knows it! stfu kungflu fu  ",2
"""passengers on coronavirus-stricken cruise ships disembark in florida, head for hospitals, airports"" ",0
 “dearpres.trump you did a great joband;it will take years4people 2 understand how much you love americaand;the world patriots. this is certainly the right way2fight terrorists.the people of iran appreciate you4killing soleimani.” coronavirus ,0
" yes, but china knew where the outbreak started and quaranetened a whole ass city, and rapidly built… ",1
i am hearing about some woman who refused to get tested and that she was the one who spread it? fuck her.,0
some chinese are horrible as fuck! chinaliedpeopledie boycottchina wuhanvirus,2
 the ccp at it again. racismisavirus ccpvirus,0
"what the hell does she know about pandemics and public health???? incompetence reigns in trumplandia. it is all about cronies, lackeys and sycophants.",0
 you are a poor ghost from: kenya. niggas: you took the chinese government and got blood. and the virus: $ 20 million: you will be condemned. god will repay you. the sky will: thunder hack your black dog!,2
check out this news! coronavirus covid_19 covid19 covidー19 wuhan coronaviruschina wuhancoronavirus chinavirus &gt;share and rt! ,0
yo 14 americans came back from japan with coronavirus and now coronavirus has evolved to be untraceable. we are actually dead. china fucking killed everyone. ggs,2
fuck you ya commies,2
"w.h.o. : there is coronavirus in your country. britain: and? .. what is for tea ? america: ""omfg! aaaaaaaaahhhhhhh! we are all going to die i do not want to die it is the arabs and the chinese oh my god save us president trump and baby jesus we're all going to die!"" ",0
covid19 so this all started cuz some chinks want bat soup ,2
"discrimination is not okay no matter what the cause. with tensions high from covid19, many asian americans are taking to social media with campaigns like washthehate, racismisavirus, and iamnotcovid19 to empower communities and fight back. ",1
china should have warned they were firing lasers at us aircraft too! they are not rivals. they are enemies! $aapl $amzn $agn $brk $ba $bhc $crm $cmg $f $ge $gm $ko $ibm $pep $tst $iep $wfc $ms $gs $jpm $bac $c $sbux $cpe $googl $cat $nwl $wynn $qsr $shak $mcd $msft $nflx ,0
coronavirus is not xenophobic or racist and will get you no matter what. it does not give you a reason to be any of those things. this is a pandemic that can and will affect everyone. stop. targeting. asians.,0
coronavirus live update in pakistan 2020 coronavirus live updates in pakistan: covid-19 is a disease caused by sars-cov2 virus. and start spreading in december 2019 from wuhan in china. covid-19 is named by world health organization as its acronym based on coronavirus disea… ,0
what?! americans have to go to work wearing a mask after being in contact with someone with covid 19?! outrageous,0
 coronavirus update: must watch video: biggest warning of your lifetime!there isn’t much time left! coronavirus covid19 coronavirius covid coronavirususa coronaviruscoverup virus viral chinavirussesungguhnya chine whotwi ,0
" wuhan flu, wuflu, kungflu, chinese virus, whatever. you can bet your ass if it originated in nyc or philly or chicago the city would be part of the name.",0
governament chineseeee is a problem fuck all coranavirusitalia china chinavirus coronavirus is not italy problem ,2
 our amazing potus will beat this wuhanvirus and then punish china for unleashing this… ,0
 kinda fucked up the egg had coronavirus,0
 you have got to be faruqin kidding me? mehreen is she serious? you expect aus taxpayers to fund international students!? really are retarded. auspol chinesevirus coronavirus,0
"hp zbook 15v g5 intel core i5 8th gen with 8 cpus 8gb ram 1tb storage 4gb nvidia quadro p600 (gddr5) kes.83,000/-… ",0
9. the chinese government says it is a bioweapon. they are just claiming that the u.s. released it. they are treati… ,0
" say to china:not to eat animals/not to kill animals eating animals,animal“products” make sick/die:corona virus god sees everything.coronavirus because people/are cruel to animal forbid eating animals forbid cruelty to animals forbid killing animals urgent ",0
was the coronavirus planted in china by us operatives? ,0
if you let the chinesevirus establish a critical mass in a high density area... the benefits of seasonal change in slowing the spread will be diminished be aggressive early slow the spread buy time your area does not need to be nyc (they fucked up big time) ,0
ayeeee! get ready! laynewcharitysong ,0
 your country ruins the world. heard of corona virus. hope it is wipes out u shit cunts,2
chinese virus then defective masks fuck china,2
 world (specially india) never forgive chinese people because chinese governance playing a dirty ga… ,0
 many thais support anti-china and taiwan hongkong independence. and called the virus chinese virus. it is so fucking funny. in europe and america this is called the asian virus.,0
 rushlimbaugh should fly his fat ass to wuhan and hangout for 48 hours. if coronavirus is “just the common cold”. bet his chicken ass he will not. spreading disinformation like this is the russian thing to do. do not be fooled. gopbetrayedamerica gopcoverup coronavirius,0
hey china thanks for literally fucking up the planet with your constant pandemics. covid19 thankschina,2
"pls retweet: writes asian americans are ""vastly over-represented among the front line medical workers"" 17% doctors, 9% pa is, 10% nurses in the us are asian. yet they face the rise in violence and hate against asians. becool2asians frontlineworkers covid19 ",1
 racism in china is the covid-19 help you are giving out? iamnotavirus ,1
this has gone too much too far and too disgusting! fk you for being so racist to asian.,0
